timestamp,uptime_s,percent,volts,plugged,playback
2026-09-14T13:30:34+02:00,74236,81.18003,3.8309338,false,stopped
2026-09-14T13:40:29+02:00,74831,76.8439,3.796566,false,stopped
2026-09-14T13:50:24+02:00,75426,75.38017,3.787167,false,stopped
2026-09-14T14:00:20+02:00,76022,75.747955,3.789566,false,stopped
2026-09-14T14:10:15+02:00,76617,73.72802,3.7716675,false,stopped
2026-09-14T14:20:10+02:00,77212,73.07195,3.7674332,false,stopped
2026-09-14T14:30:05+02:00,77807,71.47204,3.756234,false,stopped
2026-09-14T14:40:01+02:00,78403,73.051956,3.7666326,false,stopped
2026-09-14T14:50:24+02:00,78998,71.77208,3.7580998,false,stopped
2026-09-14T15:00:57+02:00,79659,70.599884,3.7463655,false,stopped
2026-09-14T15:10:52+02:00,80254,68.731865,3.7321327,false,stopped
2026-09-14T15:20:47+02:00,80849,69.74006,3.7475,false,stopped
2026-09-14T15:30:43+02:00,81445,66.49998,3.7139003,false,stopped
2026-09-14T15:40:38+02:00,82040,64.94591,3.6991005,false,stopped
2026-09-14T15:45:03+02:00,82305,62.579224,3.6803336,false,stopped
2026-09-14T15:50:33+02:00,82635,57.15834,3.637667,false,stopped
2026-09-14T15:55:00+02:00,82900,54.1698,3.6157658,false,stopped
2026-09-14T16:00:29+02:00,83231,46.330574,3.5646665,false,stopped
2026-09-14T16:05:59+02:00,83561,37.265255,3.533033,false,stopped
2026-09-14T16:10:24+02:00,83826,29.733915,3.507866,false,stopped
2026-09-14T16:15:54+02:00,84156,20.15532,3.4444325,false,stopped
2026-09-14T16:21:25+02:00,84487,6.121668,3.332366,false,stopped
